SubUnitGuid,ProfileName,ClientID,OnlineProfileName,OnlineClientID,CN,ReportingListID,ClientID,Description,FieldType,Mandatory,DataType,Min,Max,SampleValue,ActualValue,DescriptionLength,NumOfCDRDropList,CDROutput,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100001,23965,113,Billable or Non Billable,4,Y,alpha,8,12,abcdefgh,NULL,24,2,FF76,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100001,23961,113,Company Code,3,Y,character,4,4,abc2,NULL,12,0,FF18,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100001,23573,113,ETS Booked,4,Y,alpha,2,3,YES,NULL,10,2,FF82,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100001,23575,113,Hotel Offered,4,Y,alpha,2,2,OA,NULL,13,7,FF87,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100001,23964,113,Incident ID,4,Y,character,0,9,abc12,NULL,11,0,FF74,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100001,23574,113,Offshore Query ID,4,N,character,NULL,NULL,NULL,NULL,17,0,FF83,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100001,23958,113,Pernr or Employee ID,3,Y,character,1,10,abc123,NULL,20,0,FF15,FF25,
14:1BB84,CSCDEL,113,NULL,NULL,3021100001,25818,113,Reason for Trip,4,Y,alpha,1,30,AB,NULL,15,22,FF19,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100001,23960,113,Telephonic reason,4,Y,alpha,1,1,a,NULL,17,3,FF17,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100001,23954,113,Travel request or RTA No,4,Y,alpha,4,5,abcd,NULL,24,0,FF11,FF78,
14:1BB84,CSCDEL,113,NULL,NULL,3021100001,23955,113,Traveler office Location,4,N,alpha,1,3,ab,NULL,24,0,FF12,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100001,23963,113,Visa Type,4,Y,character,1,8,abcd12,NULL,9,6,FF20,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100001,23959,113,WBS Code,4,Y,character,8,20,abcd1234,NULL,8,0,FF16,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100002,23965,113,Billable or Non Billable,4,Y,alpha,8,12,abcdefgh,NULL,24,2,FF76,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100002,23961,113,Company Code,3,Y,character,4,4,abc2,NULL,12,0,FF18,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100002,23573,113,ETS Booked,4,Y,alpha,2,3,YES,NULL,10,2,FF82,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100002,23575,113,Hotel Offered,4,Y,alpha,2,2,OA,NULL,13,7,FF87,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100002,23964,113,Incident ID,4,Y,character,0,9,abc12,NULL,11,0,FF74,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100002,23574,113,Offshore Query ID,4,N,character,NULL,NULL,NULL,NULL,17,0,FF83,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100002,23958,113,Pernr or Employee ID,3,Y,character,1,10,abc123,NULL,20,0,FF15,FF25,
14:1BB84,CSCDEL,113,NULL,NULL,3021100002,25818,113,Reason for Trip,4,Y,alpha,1,30,AB,NULL,15,22,FF19,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100002,23960,113,Telephonic reason,4,Y,alpha,1,1,a,NULL,17,3,FF17,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100002,23954,113,Travel request or RTA No,4,Y,alpha,4,5,abcd,NULL,24,0,FF11,FF78,
14:1BB84,CSCDEL,113,NULL,NULL,3021100002,23955,113,Traveler office Location,4,N,alpha,1,3,ab,NULL,24,0,FF12,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100002,23963,113,Visa Type,4,Y,character,1,8,abcd12,NULL,9,6,FF20,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100002,23959,113,WBS Code,4,Y,character,8,20,abcd1234,NULL,8,0,FF16,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100003,23965,113,Billable or Non Billable,4,Y,alpha,8,12,abcdefgh,NULL,24,2,FF76,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100003,23961,113,Company Code,3,Y,character,4,4,abc2,NULL,12,0,FF18,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100003,23573,113,ETS Booked,4,Y,alpha,2,3,YES,NULL,10,2,FF82,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100003,23575,113,Hotel Offered,4,Y,alpha,2,2,OA,NULL,13,7,FF87,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100003,23964,113,Incident ID,4,Y,character,0,9,abc12,NULL,11,0,FF74,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100003,23574,113,Offshore Query ID,4,N,character,NULL,NULL,NULL,NULL,17,0,FF83,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100003,23958,113,Pernr or Employee ID,3,Y,character,1,10,abc123,NULL,20,0,FF15,FF25,
14:1BB84,CSCDEL,113,NULL,NULL,3021100003,25818,113,Reason for Trip,4,Y,alpha,1,30,AB,NULL,15,22,FF19,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100003,23960,113,Telephonic reason,4,Y,alpha,1,1,a,NULL,17,3,FF17,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100003,23954,113,Travel request or RTA No,4,Y,alpha,4,5,abcd,NULL,24,0,FF11,FF78,
14:1BB84,CSCDEL,113,NULL,NULL,3021100003,23955,113,Traveler office Location,4,N,alpha,1,3,ab,NULL,24,0,FF12,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100003,23963,113,Visa Type,4,Y,character,1,8,abcd12,NULL,9,6,FF20,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100003,23959,113,WBS Code,4,Y,character,8,20,abcd1234,NULL,8,0,FF16,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100004,23965,113,Billable or Non Billable,4,Y,alpha,8,12,abcdefgh,NULL,24,2,FF76,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100004,23961,113,Company Code,3,Y,character,4,4,abc2,NULL,12,0,FF18,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100004,23573,113,ETS Booked,4,Y,alpha,2,3,YES,NULL,10,2,FF82,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100004,23575,113,Hotel Offered,4,Y,alpha,2,2,OA,NULL,13,7,FF87,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100004,23964,113,Incident ID,4,Y,character,0,9,abc12,NULL,11,0,FF74,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100004,23574,113,Offshore Query ID,4,N,character,NULL,NULL,NULL,NULL,17,0,FF83,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100004,23958,113,Pernr or Employee ID,3,Y,character,1,10,abc123,NULL,20,0,FF15,FF25,
14:1BB84,CSCDEL,113,NULL,NULL,3021100004,25818,113,Reason for Trip,4,Y,alpha,1,30,AB,NULL,15,22,FF19,,
